Date,Bitcoin
2015-09-02,2.0
2015-09-03,2.0
2015-09-04,2.0
2015-09-05,2.0
2015-09-06,2.0
2015-09-07,2.0
2015-09-08,2.0
2015-09-09,2.0
2015-09-10,2.0
2015-09-11,2.0
2015-09-12,2.0
2015-09-13,2.0
2015-09-14,2.0
2015-09-15,2.0
2015-09-16,2.0
2015-09-17,2.0
2015-09-18,2.0
2015-09-19,2.0
2015-09-20,2.0
2015-09-21,2.0
2015-09-22,2.0
2015-09-23,2.0
2015-09-24,2.0
2015-09-25,2.0
2015-09-26,2.0
2015-09-27,2.0
2015-09-28,2.0
2015-09-29,2.0
2015-09-30,2.0
2015-10-01,3.0
2015-10-02,3.421052631578947
2015-10-03,3.1052631578947367
2015-10-04,3.3684210526315788
2015-10-05,3.421052631578947
2015-10-06,4.157894736842105
2015-10-07,3.31578947368421
2015-10-08,4.368421052631579
2015-10-09,3.894736842105263
2015-10-10,3.31578947368421
2015-10-11,3.2105263157894735
2015-10-12,3.631578947368421
2015-10-13,3.8421052631578947
2015-10-14,3.4736842105263155
2015-10-15,3.3684210526315788
2015-10-16,3.894736842105263
2015-10-17,3.894736842105263
2015-10-18,3.4736842105263155
2015-10-19,3.421052631578947
2015-10-20,3.421052631578947
2015-10-21,3.631578947368421
2015-10-22,3.8421052631578947
2015-10-23,3.631578947368421
2015-10-24,3.631578947368421
2015-10-25,4.2105263157894735
2015-10-26,4.105263157894736
2015-10-27,4.263157894736842
2015-10-28,4.578947368421052
2015-10-29,5.0
2015-10-30,5.105263157894736
2015-10-31,4.789473684210526
2015-11-01,3.0
2015-11-02,3.0
2015-11-03,3.0
2015-11-04,3.0
2015-11-05,3.0
2015-11-06,3.0
2015-11-07,3.0
2015-11-08,3.0
2015-11-09,3.0
2015-11-10,3.0
2015-11-11,3.0
2015-11-12,3.0
2015-11-13,3.0
2015-11-14,3.0
2015-11-15,3.0
2015-11-16,3.0
2015-11-17,3.0
2015-11-18,3.0
2015-11-19,3.0
2015-11-20,3.0
2015-11-21,3.0
2015-11-22,3.0
2015-11-23,3.0
2015-11-24,3.0
2015-11-25,3.0
2015-11-26,3.0
2015-11-27,3.0
2015-11-28,3.0
2015-11-29,3.0
2015-11-30,3.0
2015-12-01,3.0
2015-12-02,3.0
2015-12-03,3.0
2015-12-04,3.0
2015-12-05,3.0
2015-12-06,3.0
2015-12-07,3.0
2015-12-08,3.0
2015-12-09,3.0
2015-12-10,3.0
2015-12-11,3.0
2015-12-12,3.0
2015-12-13,3.0
2015-12-14,3.0
2015-12-15,3.0
2015-12-16,3.0
2015-12-17,3.0
2015-12-18,3.0
2015-12-19,3.0
2015-12-20,3.0
2015-12-21,3.0
2015-12-22,3.0
2015-12-23,3.0
2015-12-24,3.0
2015-12-25,3.0
2015-12-26,3.0
2015-12-27,3.0
2015-12-28,3.0
2015-12-29,3.0
2015-12-30,3.0
2015-12-31,3.0
2016-01-01,3.0
2016-01-02,3.0
2016-01-03,3.0
2016-01-04,3.0
2016-01-05,3.0
2016-01-06,3.0
2016-01-07,3.0
2016-01-08,3.0
2016-01-09,3.0
2016-01-10,3.0
2016-01-11,3.0
2016-01-12,3.0
2016-01-13,3.0
2016-01-14,3.0
2016-01-15,3.0
2016-01-16,3.0
2016-01-17,3.0
2016-01-18,3.0
2016-01-19,3.0
2016-01-20,3.0
2016-01-21,3.0
2016-01-22,3.0
2016-01-23,3.0
2016-01-24,3.0
2016-01-25,3.0
2016-01-26,3.0
2016-01-27,3.0
2016-01-28,3.0
2016-01-29,3.0
2016-01-30,3.0
2016-01-31,3.0
2016-02-01,2.0
2016-02-02,2.1999999999999993
2016-02-03,2.1999999999999993
2016-02-04,1.8999999999999995
2016-02-05,2.0
2016-02-06,2.1999999999999993
2016-02-07,2.0
2016-02-08,2.3
2016-02-09,1.7999999999999998
2016-02-10,2.0999999999999996
2016-02-11,1.0
2016-02-12,1.2999999999999998
2016-02-13,1.5
2016-02-14,1.0
2016-02-15,1.0
2016-02-16,0.5
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-20,0.5999999999999996
2016-02-21,0.5999999999999996
2016-02-22,1.0
2016-02-23,0.8999999999999995
2016-02-24,0.6999999999999993
2016-02-25,1.5
2016-02-26,1.5
2016-02-27,1.1999999999999993
2016-02-28,1.5999999999999996
2016-02-29,1.8999999999999995
2016-03-01,2.0
2016-03-02,2.0
2016-03-03,2.0
2016-03-04,2.0
2016-03-05,2.0
2016-03-06,2.0
2016-03-07,2.0
2016-03-08,2.0
2016-03-09,2.0
2016-03-10,2.0
2016-03-11,2.0
2016-03-12,2.0
2016-03-13,2.0
2016-03-14,2.0
2016-03-15,2.0
2016-03-16,2.0
2016-03-17,2.0
2016-03-18,2.0
2016-03-19,2.0
2016-03-20,2.0
2016-03-21,2.0
2016-03-22,2.0
2016-03-23,2.0
2016-03-24,2.0
2016-03-25,2.0
2016-03-26,2.0
2016-03-27,2.0
2016-03-28,2.0
2016-03-29,2.0
2016-03-30,2.0
2016-03-31,2.0
2016-04-01,3.0
2016-04-02,4.0
2016-04-03,2.5
2016-04-04,2.0
2016-04-05,8.0
2016-04-06,4.0
2016-04-07,7.5
2016-04-08,4.5
2016-04-09,2.5
2016-04-10,7.0
2016-04-11,8.0
2016-04-12,6.5
2016-04-13,2.0
2016-04-14,3.5
2016-04-15,4.0
2016-04-16,5.5
2016-04-17,2.0
2016-04-18,1.5
2016-04-19,6.5
2016-04-20,7.0
2016-04-21,15.0
2016-04-22,8.5
2016-04-23,7.5
2016-04-24,13.5
2016-04-25,8.5
2016-04-26,10.0
2016-04-27,13.5
2016-04-28,14.0
2016-04-29,7.5
2016-04-30,7.0
2016-05-01,4.0
2016-05-02,8.466666666666667
2016-05-03,6.0
2016-05-04,4.866666666666666
2016-05-05,5.133333333333333
2016-05-06,4.666666666666666
2016-05-07,4.533333333333333
2016-05-08,4.4
2016-05-09,4.6
2016-05-10,4.466666666666667
2016-05-11,4.266666666666667
2016-05-12,4.266666666666667
2016-05-13,4.066666666666666
2016-05-14,4.199999999999999
2016-05-15,3.933333333333333
2016-05-16,3.8
2016-05-17,4.133333333333333
2016-05-18,4.066666666666666
2016-05-19,4.333333333333333
2016-05-20,4.333333333333333
2016-05-21,4.199999999999999
2016-05-22,4.0
2016-05-23,4.066666666666666
2016-05-24,4.199999999999999
2016-05-25,3.933333333333333
2016-05-26,3.933333333333333
2016-05-27,4.333333333333333
2016-05-28,5.066666666666666
2016-05-29,5.7333333333333325
2016-05-30,5.4
2016-05-31,5.066666666666666
2016-06-01,3.0
2016-06-02,3.8000000000000007
2016-06-03,2.8000000000000007
2016-06-04,3.8000000000000007
2016-06-05,3.5999999999999996
2016-06-06,2.8000000000000007
2016-06-07,3.0
2016-06-08,3.0
2016-06-09,4.2
2016-06-10,4.0
2016-06-11,4.2
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.8000000000000007
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,1.0
2016-06-20,1.1999999999999993
2016-06-21,0.0
2016-06-22,0.8000000000000007
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,1.0
2016-06-27,1.5999999999999996
2016-06-28,1.4000000000000004
2016-06-29,2.5999999999999996
2016-06-30,2.1999999999999993
2016-07-01,3.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,3.0
2016-07-05,3.0
2016-07-06,3.0
2016-07-07,3.0
2016-07-08,3.0
2016-07-09,3.0
